execution_order,score_drop_rank,condition,family,kind,n_features,runs,mean_score_delta,std_score_delta,score_delta_sem,score_delta_ci95,mean_score_delta_pct,mean_lines_delta,std_lines_delta,mean_score,std_score,median_score,mean_lines,mean_pieces,baseline_mean_score,baseline_mean_lines,feature_indices,feature_names
1,29,fill_height_col_0,fill_height,individual,1.0,100.0,146.0,839.4683262083631,83.94683262083632,164.5357919368392,21.086077411900636,2.94,12.684055050544858,546.4,648.5905776171415,440.0,10.42,64.54,692.4,13.36,0,fill_height_col_0
2,8,fill_height_col_1,fill_height,individual,1.0,100.0,241.4,812.9271464618126,81.29271464618127,159.3337207065153,34.86424032351242,4.15,13.317699167315318,451.0,485.01067363033724,280.0,9.21,61.13,692.4,13.36,1,fill_height_col_1
3,72,fill_height_col_2,fill_height,individual,1.0,100.0,41.2,895.7444621174843,89.57444621174844,175.56591457502694,5.950317735413056,0.98,14.405372174114332,651.2,624.1880058657541,460.0,12.38,69.66,692.4,13.36,2,fill_height_col_2
4,19,fill_height_col_3,fill_height,individual,1.0,100.0,185.0,863.8573348357326,86.38573348357326,169.31603762780358,26.718659734257656,3.19,13.902034586943223,507.4,519.787485712219,440.0,10.17,63.66,692.4,13.36,3,fill_height_col_3
5,37,fill_height_col_4,fill_height,individual,1.0,100.0,131.0,850.741209805077,85.0741209805077,166.74527712179508,18.919699595609476,2.17,14.19848832471509,561.4,537.5008010329949,380.0,11.19,66.46,692.4,13.36,4,fill_height_col_4
6,57,fill_height_col_5,fill_height,individual,1.0,100.0,79.6,1004.1126742683127,100.41126742683127,196.8060841565893,11.496244945118427,1.88,15.660720986537683,612.8,687.8778374042291,420.0,11.48,67.12,692.4,13.36,5,fill_height_col_5
7,27,fill_height_col_6,fill_height,individual,1.0,100.0,147.4,855.10070291236,85.510070291236,167.59973777082257,21.288272674754477,2.7,12.979782258371959,545.0,569.4610246415979,380.0,10.66,65.11,692.4,13.36,6,fill_height_col_6
8,14,fill_height_col_7,fill_height,individual,1.0,100.0,209.4,818.6239007682899,81.86239007682899,160.45028455058483,30.24263431542461,3.61,13.9775397034534,483.0,515.0531991744134,350.0,9.75,62.78,692.4,13.36,7,fill_height_col_7
9,18,fill_height_col_8,fill_height,individual,1.0,100.0,185.8,928.8867889396784,92.88867889396784,182.06181063217696,26.83419988445985,3.67,14.786736480967521,506.6,600.3706262708803,330.0,9.69,62.57,692.4,13.36,8,fill_height_col_8
10,89,fill_height_col_9,fill_height,individual,1.0,100.0,-9.4,940.9836031590249,94.0983603159025,184.4327862191689,-1.3575967648757943,0.42,16.03920701332088,701.8,745.9471370768382,460.0,12.94,70.66,692.4,13.36,9,fill_height_col_9
11,56,total_holeyness,total_holeyness,individual,1.0,100.0,81.4,882.7516895789809,88.27516895789809,173.01933115748025,11.75621028307337,1.38,14.87305203270925,611.0,564.6443414426751,490.0,11.98,68.71,692.4,13.36,10,total_holeyness
12,76,mean_height,height_summary,individual,1.0,100.0,37.2,769.8931842479936,76.98931842479936,150.89906411260677,5.372616984402081,0.88,13.103534876613496,655.2,617.0645399507628,470.0,12.48,69.82,692.4,13.36,11,mean_height
13,1,height_deviation,height_summary,individual,1.0,100.0,596.4,707.508817805635,70.7508817805635,138.67172828990445,86.13518197573657,11.3,11.436694443674702,96.0,143.2381643179349,40.0,2.06,39.96,692.4,13.36,12,height_deviation
14,39,lowest_point,height_summary,individual,1.0,100.0,121.8,932.5022057005355,93.25022057005354,182.77043231730494,17.59098786828423,2.16,14.430411209552126,570.6,648.3947855896113,370.0,11.2,65.97,692.4,13.36,13,lowest_point
15,13,highest_point,height_summary,individual,1.0,100.0,211.0,853.7895324121547,85.37895324121547,167.3427483527823,30.473714615829003,4.16,13.52044467620885,481.4,497.8601077297586,310.0,9.2,61.07,692.4,13.36,14,highest_point
16,77,holeyness_col_0,holeyness_col,individual,1.0,100.0,35.0,813.2954536633627,81.32954536633626,159.40590891801907,5.054881571346043,0.28,12.777884935870391,657.4,728.843861013711,390.0,13.08,70.91,692.4,13.36,15,holeyness_col_0
17,55,holeyness_col_1,holeyness_col,individual,1.0,100.0,85.4,1020.532065625425,102.0532065625425,200.0242848625833,12.333911034084345,0.67,17.61487835308378,607.0,759.8318527440426,440.0,12.69,69.89,692.4,13.36,16,holeyness_col_1
18,91,holeyness_col_2,holeyness_col,individual,1.0,100.0,-17.6,965.7415845249743,96.57415845249743,189.28535056689495,-2.5418833044482962,0.11,15.40031155397825,710.0,867.6334933529703,520.0,13.25,71.54,692.4,13.36,17,holeyness_col_2
19,32,holeyness_col_3,holeyness_col,individual,1.0,100.0,137.6,795.62581936765,79.562581936765,155.9426605960594,19.872905834777587,1.81,13.465027653033978,554.8,473.8206624895333,450.0,11.55,66.97,692.4,13.36,18,holeyness_col_3
20,11,holeyness_col_4,holeyness_col,individual,1.0,100.0,220.8,878.6487329755822,87.86487329755822,172.2151516632141,31.889081455805893,3.85,14.459539509551568,471.6,539.263845394344,240.0,9.51,61.85,692.4,13.36,19,holeyness_col_4
21,10,holeyness_col_5,holeyness_col,individual,1.0,100.0,224.8,835.2734748438847,83.52734748438847,163.7136010694014,32.46678220681687,3.83,13.67446562396535,467.6,541.7053506000166,310.0,9.53,62.16,692.4,13.36,20,holeyness_col_5
22,82,holeyness_col_6,holeyness_col,individual,1.0,100.0,22.4,1017.123215920095,101.7123215920095,199.35615032033863,3.2351242056614673,0.95,15.18330755411443,670.0,848.5067096750835,420.0,12.41,69.32,692.4,13.36,21,holeyness_col_6
23,25,holeyness_col_7,holeyness_col,individual,1.0,100.0,151.8,802.7684169878205,80.27684169878205,157.3426097296128,21.923743500866554,1.99,13.730813978976357,540.6,528.7871008069296,390.0,11.37,66.7,692.4,13.36,22,holeyness_col_7
24,78,holeyness_col_8,holeyness_col,individual,1.0,100.0,35.0,903.990591709333,90.3990591709333,177.18215597502927,5.054881571346043,1.54,13.66217220997267,657.4,802.3987018731253,360.0,11.82,67.96,692.4,13.36,23,holeyness_col_8
25,44,holeyness_col_9,holeyness_col,individual,1.0,100.0,107.8,717.7681176445989,71.7768117644599,140.68255105834137,15.569035239745812,1.69,12.050981769804551,584.6,570.9807617626275,410.0,11.67,67.71,692.4,13.36,24,holeyness_col_9
26,2,vertical_hole_depth_col_0,vertical_hole_depth,individual,1.0,100.0,362.6,727.0510798611558,72.70510798611558,142.50201165278654,52.368573079145,6.29,11.964843281358712,329.8,364.2897614578679,220.0,7.07,54.77,692.4,13.36,25,vertical_hole_depth_col_0
27,41,vertical_hole_depth_col_1,vertical_hole_depth,individual,1.0,100.0,120.0,882.6040442859409,88.26040442859409,172.9903926800444,17.33102253032929,1.43,15.186553728262846,572.4,580.029814629029,370.0,11.93,68.23,692.4,13.36,26,vertical_hole_depth_col_1
28,17,vertical_hole_depth_col_2,vertical_hole_depth,individual,1.0,100.0,186.4,807.3444685566942,80.73444685566942,158.23951583711207,26.920854997111498,3.15,12.615827000600909,506.0,500.16966818240485,360.0,10.21,63.72,692.4,13.36,27,vertical_hole_depth_col_2
29,31,vertical_hole_depth_col_3,vertical_hole_depth,individual,1.0,100.0,144.4,913.5283136268847,91.35283136268848,179.05154947086942,20.854997111496246,2.09,15.322852148989691,548.0,624.5871363621659,360.0,11.27,66.83,692.4,13.36,28,vertical_hole_depth_col_3
30,40,vertical_hole_depth_col_4,vertical_hole_depth,individual,1.0,100.0,120.2,993.4675321185576,99.34675321185577,194.7196362952373,17.359907567879837,2.65,15.491525868595827,572.2,727.4190989069131,340.0,10.71,65.31,692.4,13.36,29,vertical_hole_depth_col_4
31,7,vertical_hole_depth_col_5,vertical_hole_depth,individual,1.0,100.0,244.0,730.219283517083,73.0219283517083,143.12297956934825,35.23974581166956,3.68,13.217588526832209,448.4,398.2809525595182,360.0,9.68,62.56,692.4,13.36,30,vertical_hole_depth_col_5
32,22,vertical_hole_depth_col_6,vertical_hole_depth,individual,1.0,100.0,172.4,741.3543707501177,74.13543707501177,145.30545666702307,24.89890236857308,2.67,11.957884850633498,520.0,496.52530019866435,400.0,10.69,65.12,692.4,13.36,31,vertical_hole_depth_col_6
33,53,vertical_hole_depth_col_7,vertical_hole_depth,individual,1.0,100.0,88.6,940.3427486020641,94.03427486020641,184.30717872600457,12.796071634893126,1.7,15.186716683877513,603.8,686.5206964590847,380.0,11.66,67.46,692.4,13.36,32,vertical_hole_depth_col_7
34,21,vertical_hole_depth_col_8,vertical_hole_depth,individual,1.0,100.0,173.0,863.6982965565854,86.36982965565855,169.28486612509076,24.985557481224728,3.29,13.847141702652333,519.4,582.4327593739205,370.0,10.07,63.82,692.4,13.36,33,vertical_hole_depth_col_8
35,45,vertical_hole_depth_col_9,vertical_hole_depth,individual,1.0,100.0,105.6,731.1542279509194,73.11542279509194,143.30622867838022,15.251299826689776,1.56,12.369169884691683,586.8,590.9090411810391,400.0,11.8,68.12,692.4,13.36,34,vertical_hole_depth_col_9
36,61,vertical_hole_clusteredness_col_0,vertical_hole_clusteredness,individual,1.0,100.0,66.4,954.2203121084794,95.42203121084795,187.02718117326197,9.589832466782209,0.77,17.57515176594386,626.0,803.4295176921183,390.0,12.59,69.91,692.4,13.36,35,vertical_hole_clusteredness_col_0
37,93,vertical_hole_clusteredness_col_1,vertical_hole_clusteredness,individual,1.0,100.0,-31.8,992.5341303955245,99.25341303955244,194.53668955752278,-4.592720970537262,-0.13,17.166243007423,724.2,952.4886913085672,420.0,13.49,72.08,692.4,13.36,36,vertical_hole_clusteredness_col_1
38,24,vertical_hole_clusteredness_col_2,vertical_hole_clusteredness,individual,1.0,100.0,155.6,945.7254390469816,94.57254390469816,185.3621860532084,22.472559214326978,2.92,16.56982775768028,536.8,641.2407165531962,270.0,10.44,64.15,692.4,13.36,37,vertical_hole_clusteredness_col_2
39,16,vertical_hole_clusteredness_col_3,vertical_hole_clusteredness,individual,1.0,100.0,204.6,882.0126433505944,88.20126433505945,172.87447809671653,29.54939341421144,3.24,15.033377007260352,487.8,541.6241568400798,270.0,10.12,63.62,692.4,13.36,38,vertical_hole_clusteredness_col_3
40,9,vertical_hole_clusteredness_col_4,vertical_hole_clusteredness,individual,1.0,100.0,232.4,964.5505783430012,96.45505783430012,189.05191335522824,33.56441363373772,4.47,16.029300822196983,460.0,639.2735776416127,270.0,8.89,59.9,692.4,13.36,39,vertical_hole_clusteredness_col_4
41,54,vertical_hole_clusteredness_col_5,vertical_hole_clusteredness,individual,1.0,100.0,88.2,882.1099361156405,88.21099361156405,172.89354747866554,12.738301559792028,1.99,14.072320420605907,604.2,637.3828749605133,390.0,11.37,66.36,692.4,13.36,40,vertical_hole_clusteredness_col_5
42,73,vertical_hole_clusteredness_col_6,vertical_hole_clusteredness,individual,1.0,100.0,39.4,971.2158577907603,97.12158577907603,190.35830812698902,5.690352397458117,1.04,16.1745029430442,653.0,715.7809890199825,390.0,12.32,69.39,692.4,13.36,41,vertical_hole_clusteredness_col_6
43,66,vertical_hole_clusteredness_col_7,vertical_hole_clusteredness,individual,1.0,100.0,54.4,1160.2371056875147,116.02371056875147,227.40647271475288,7.8567302137492785,1.65,15.673032233551343,638.0,958.0683428101304,420.0,11.71,67.63,692.4,13.36,42,vertical_hole_clusteredness_col_7
44,28,vertical_hole_clusteredness_col_8,vertical_hole_clusteredness,individual,1.0,100.0,146.2,815.4948674197029,81.5494867419703,159.8369940142618,21.114962449451184,3.46,13.135209833639408,546.2,537.744597857805,360.0,9.9,63.0,692.4,13.36,43,vertical_hole_clusteredness_col_8
