condition,seed,score,lines,pieces,truncated
baseline,0,480.0,11,68,False
baseline,1,420.0,9,62,False
baseline,2,300.0,7,54,False
baseline,3,140.0,3,41,False
baseline,4,500.0,12,69,False
baseline,5,360.0,9,62,False
baseline,6,1340.0,28,110,False
baseline,7,760.0,18,82,False
baseline,8,780.0,18,84,False
baseline,9,140.0,3,46,False
baseline,10,0.0,0,38,False
baseline,11,1940.0,22,96,False
baseline,12,720.0,17,82,False
baseline,13,400.0,10,61,False
baseline,14,960.0,19,85,False
baseline,15,80.0,2,46,False
baseline,16,2140.0,49,162,False
baseline,17,40.0,1,39,False
baseline,18,1980.0,18,86,False
baseline,19,840.0,19,85,False
baseline,20,80.0,2,43,False
baseline,21,580.0,14,74,False
baseline,22,580.0,10,63,False
baseline,23,2640.0,37,130,False
baseline,24,1100.0,22,95,False
baseline,25,480.0,12,70,False
baseline,26,400.0,9,63,False
baseline,27,1380.0,29,114,False
baseline,28,0.0,0,39,False
baseline,29,580.0,14,75,False
baseline,30,880.0,13,71,False
baseline,31,240.0,6,54,False
baseline,32,3460.0,49,163,False
baseline,33,640.0,16,77,False
baseline,34,340.0,8,60,False
baseline,35,1060.0,22,93,False
baseline,36,140.0,3,45,False
baseline,37,280.0,7,55,False
baseline,38,2640.0,35,128,False
baseline,39,1680.0,40,141,False
baseline,40,540.0,12,70,False
baseline,41,620.0,10,61,False
baseline,42,220.0,5,51,False
baseline,43,540.0,12,70,False
baseline,44,160.0,4,50,False
baseline,45,1020.0,20,89,False
baseline,46,720.0,16,79,False
baseline,47,400.0,9,62,False
baseline,48,660.0,16,80,False
baseline,49,240.0,6,54,False
baseline,50,720.0,13,71,False
baseline,51,1520.0,35,128,False
baseline,52,480.0,11,67,False
baseline,53,2880.0,37,130,False
baseline,54,320.0,7,59,False
baseline,55,860.0,20,89,False
baseline,56,340.0,8,58,False
baseline,57,240.0,6,46,False
baseline,58,780.0,14,74,False
baseline,59,300.0,7,57,False
baseline,60,380.0,9,63,False
baseline,61,420.0,10,64,False
baseline,62,120.0,3,45,False
baseline,63,40.0,1,39,False
baseline,64,360.0,8,60,False
baseline,65,80.0,2,44,False
baseline,66,840.0,20,88,False
baseline,67,120.0,3,45,False
baseline,68,920.0,21,91,False
baseline,69,120.0,3,44,False
baseline,70,2060.0,24,99,False
baseline,71,80.0,2,41,False
baseline,72,760.0,18,85,False
baseline,73,40.0,1,41,False
baseline,74,460.0,10,65,False
baseline,75,240.0,6,54,False
baseline,76,480.0,11,65,False
baseline,77,200.0,5,51,False
baseline,78,1000.0,24,100,False
baseline,79,220.0,5,52,False
baseline,80,760.0,14,76,False
baseline,81,340.0,7,54,False
baseline,82,240.0,6,54,False
baseline,83,780.0,14,71,False
baseline,84,100.0,2,44,False
baseline,85,120.0,3,48,False
baseline,86,1100.0,22,95,False
baseline,87,240.0,6,51,False
baseline,88,260.0,6,55,False
baseline,89,520.0,12,67,False
baseline,90,2260.0,25,102,False
baseline,91,660.0,15,79,False
baseline,92,380.0,5,48,False
baseline,93,2200.0,52,169,False
baseline,94,740.0,18,83,False
baseline,95,340.0,4,43,False
baseline,96,220.0,5,50,False
baseline,97,300.0,7,57,False
baseline,98,240.0,6,54,False
baseline,99,1440.0,30,115,False
fill_height_col_0,0,340.0,8,59,False
fill_height_col_0,1,880.0,21,92,False
fill_height_col_0,2,180.0,4,50,False
fill_height_col_0,3,460.0,7,55,False
fill_height_col_0,4,840.0,20,90,False
fill_height_col_0,5,1580.0,12,70,False
fill_height_col_0,6,120.0,3,44,False
fill_height_col_0,7,120.0,3,47,False
fill_height_col_0,8,80.0,2,43,False
fill_height_col_0,9,920.0,18,86,False
fill_height_col_0,10,2500.0,30,114,False
fill_height_col_0,11,0.0,0,36,False
fill_height_col_0,12,300.0,7,56,False
fill_height_col_0,13,840.0,20,90,False
fill_height_col_0,14,1460.0,35,127,False
fill_height_col_0,15,360.0,8,57,False
fill_height_col_0,16,80.0,2,40,False
fill_height_col_0,17,200.0,5,51,False
fill_height_col_0,18,0.0,0,39,False
fill_height_col_0,19,460.0,11,66,False
fill_height_col_0,20,40.0,1,42,False
fill_height_col_0,21,400.0,10,62,False
fill_height_col_0,22,460.0,11,65,False
fill_height_col_0,23,440.0,10,63,False
fill_height_col_0,24,820.0,16,80,False
fill_height_col_0,25,880.0,17,80,False
fill_height_col_0,26,120.0,3,46,False
fill_height_col_0,27,420.0,10,65,False
fill_height_col_0,28,0.0,0,35,False
fill_height_col_0,29,160.0,4,45,False
fill_height_col_0,30,460.0,11,66,False
fill_height_col_0,31,180.0,4,50,False
fill_height_col_0,32,680.0,12,68,False
fill_height_col_0,33,120.0,3,43,False
fill_height_col_0,34,260.0,6,54,False
fill_height_col_0,35,700.0,16,77,False
fill_height_col_0,36,40.0,1,42,False
fill_height_col_0,37,800.0,18,85,False
fill_height_col_0,38,4940.0,60,189,False
fill_height_col_0,39,760.0,17,83,False
fill_height_col_0,40,120.0,3,45,False
fill_height_col_0,41,540.0,8,61,False
fill_height_col_0,42,300.0,7,53,False
fill_height_col_0,43,920.0,17,83,False
fill_height_col_0,44,240.0,6,53,False
fill_height_col_0,45,420.0,10,63,False
fill_height_col_0,46,1220.0,25,102,False
fill_height_col_0,47,220.0,5,54,False
fill_height_col_0,48,500.0,8,58,False
fill_height_col_0,49,0.0,0,36,False
fill_height_col_0,50,640.0,16,80,False
fill_height_col_0,51,2380.0,45,153,False
fill_height_col_0,52,780.0,18,86,False
fill_height_col_0,53,120.0,3,46,False
fill_height_col_0,54,780.0,19,88,False
fill_height_col_0,55,800.0,15,78,False
fill_height_col_0,56,680.0,12,70,False
fill_height_col_0,57,460.0,7,52,False
fill_height_col_0,58,40.0,1,38,False
fill_height_col_0,59,1080.0,20,91,False
fill_height_col_0,60,580.0,10,64,False
fill_height_col_0,61,1440.0,29,113,False
fill_height_col_0,62,740.0,18,81,False
fill_height_col_0,63,440.0,6,53,False
fill_height_col_0,64,1640.0,14,75,False
fill_height_col_0,65,0.0,0,37,False
fill_height_col_0,66,180.0,4,47,False
fill_height_col_0,67,160.0,4,47,False
fill_height_col_0,68,620.0,14,75,False
fill_height_col_0,69,240.0,5,51,False
fill_height_col_0,70,120.0,3,48,False
fill_height_col_0,71,380.0,9,59,False
fill_height_col_0,72,80.0,2,45,False
fill_height_col_0,73,480.0,7,57,False
fill_height_col_0,74,880.0,16,78,False
fill_height_col_0,75,680.0,12,70,False
fill_height_col_0,76,40.0,1,40,False
fill_height_col_0,77,360.0,8,60,False
fill_height_col_0,78,520.0,13,71,False
fill_height_col_0,79,0.0,0,37,False
fill_height_col_0,80,140.0,3,45,False
fill_height_col_0,81,0.0,0,34,False
fill_height_col_0,82,120.0,3,45,False
fill_height_col_0,83,80.0,2,43,False
fill_height_col_0,84,80.0,2,44,False
fill_height_col_0,85,40.0,1,37,False
fill_height_col_0,86,880.0,20,90,False
fill_height_col_0,87,520.0,11,68,False
fill_height_col_0,88,600.0,10,64,False
fill_height_col_0,89,260.0,6,53,False
fill_height_col_0,90,780.0,18,86,False
fill_height_col_0,91,140.0,3,44,False
fill_height_col_0,92,720.0,18,81,False
fill_height_col_0,93,740.0,18,84,False
fill_height_col_0,94,1060.0,16,81,False
fill_height_col_0,95,740.0,14,75,False
fill_height_col_0,96,440.0,10,63,False
fill_height_col_0,97,40.0,1,40,False
fill_height_col_0,98,0.0,0,36,False
fill_height_col_0,99,1040.0,20,91,False
fill_height_col_1,0,0.0,0,37,False
fill_height_col_1,1,340.0,8,58,False
fill_height_col_1,2,560.0,13,71,False
fill_height_col_1,3,0.0,0,30,False
fill_height_col_1,4,40.0,1,41,False
fill_height_col_1,5,40.0,1,41,False
fill_height_col_1,6,1560.0,31,118,False
fill_height_col_1,7,780.0,18,85,False
fill_height_col_1,8,0.0,0,39,False
fill_height_col_1,9,0.0,0,36,False
fill_height_col_1,10,80.0,2,42,False
fill_height_col_1,11,80.0,2,40,False
fill_height_col_1,12,40.0,1,39,False
fill_height_col_1,13,700.0,17,81,False
fill_height_col_1,14,260.0,6,54,False
fill_height_col_1,15,80.0,2,42,False
fill_height_col_1,16,120.0,3,42,False
fill_height_col_1,17,0.0,0,39,False
fill_height_col_1,18,40.0,1,38,False
fill_height_col_1,19,300.0,7,56,False
fill_height_col_1,20,280.0,7,56,False
fill_height_col_1,21,180.0,4,49,False
fill_height_col_1,22,360.0,8,60,False
fill_height_col_1,23,680.0,17,83,False
fill_height_col_1,24,1880.0,45,152,False
fill_height_col_1,25,760.0,19,87,False
fill_height_col_1,26,80.0,2,40,False
fill_height_col_1,27,2180.0,38,135,False
fill_height_col_1,28,1740.0,17,81,False
fill_height_col_1,29,220.0,5,49,False
fill_height_col_1,30,580.0,12,70,False
fill_height_col_1,31,280.0,6,53,False
fill_height_col_1,32,800.0,14,74,False
fill_height_col_1,33,0.0,0,34,False
fill_height_col_1,34,360.0,9,59,False
fill_height_col_1,35,560.0,13,71,False
fill_height_col_1,36,0.0,0,34,False
fill_height_col_1,37,40.0,1,41,False
fill_height_col_1,38,800.0,15,78,False
fill_height_col_1,39,1460.0,34,124,False
fill_height_col_1,40,1000.0,19,85,False
fill_height_col_1,41,1380.0,25,100,False
fill_height_col_1,42,460.0,11,66,False
fill_height_col_1,43,680.0,15,78,False
fill_height_col_1,44,440.0,11,67,False
fill_height_col_1,45,520.0,8,57,False
fill_height_col_1,46,660.0,15,75,False
fill_height_col_1,47,1480.0,10,59,False
fill_height_col_1,48,240.0,6,53,False
fill_height_col_1,49,120.0,3,47,False
fill_height_col_1,50,700.0,17,81,False
fill_height_col_1,51,0.0,0,32,False
fill_height_col_1,52,320.0,7,57,False
fill_height_col_1,53,280.0,7,53,False
fill_height_col_1,54,40.0,1,42,False
fill_height_col_1,55,340.0,8,59,False
fill_height_col_1,56,260.0,6,54,False
fill_height_col_1,57,200.0,5,51,False
fill_height_col_1,58,120.0,3,46,False
fill_height_col_1,59,280.0,7,58,False
fill_height_col_1,60,800.0,17,85,False
fill_height_col_1,61,120.0,3,46,False
fill_height_col_1,62,520.0,12,66,False
fill_height_col_1,63,40.0,1,41,False
fill_height_col_1,64,540.0,12,68,False
fill_height_col_1,65,40.0,1,40,False
fill_height_col_1,66,440.0,11,65,False
fill_height_col_1,67,0.0,0,38,False
fill_height_col_1,68,0.0,0,41,False
fill_height_col_1,69,820.0,15,77,False
fill_height_col_1,70,260.0,6,53,False
fill_height_col_1,71,0.0,0,36,False
fill_height_col_1,72,600.0,10,63,False
fill_height_col_1,73,980.0,19,88,False
fill_height_col_1,74,140.0,3,46,False
fill_height_col_1,75,120.0,3,46,False
fill_height_col_1,76,880.0,20,88,False
fill_height_col_1,77,40.0,1,38,False
fill_height_col_1,78,240.0,6,53,False
fill_height_col_1,79,1820.0,39,134,False
fill_height_col_1,80,80.0,2,44,False
fill_height_col_1,81,120.0,3,46,False
fill_height_col_1,82,720.0,9,60,False
fill_height_col_1,83,40.0,1,42,False
fill_height_col_1,84,480.0,11,64,False
fill_height_col_1,85,160.0,4,51,False
