rank,condition,kind,n_features,runs,mean_score,std_score,median_score,mean_lines,std_lines,mean_pieces,truncated_runs,baseline_mean_score,baseline_mean_lines,mean_score_delta,std_score_delta,mean_score_delta_pct,mean_lines_delta,std_lines_delta,feature_indices,feature_names
1,height_deviation,individual,1,100,96.0,143.2381643179349,40.0,2.06,2.7407143505872975,39.96,0,692.4,13.36,596.4,707.508817805635,86.13518197573657,11.3,11.436694443674702,12,height_deviation
2,vertical_hole_depth_col_0,individual,1,100,329.8,364.2897614578679,220.0,7.07,6.852346055523354,54.77,0,692.4,13.36,362.6,727.0510798611558,52.368573079145,6.29,11.964843281358712,25,vertical_hole_depth_col_0
3,horizontal_hole_edge_distance_row_7,individual,1,100,352.2,378.2564465993136,250.0,6.85,5.446479726772276,55.14,0,692.4,13.36,340.2,648.5196507228885,49.13344887348354,6.51,10.314738890725174,52,horizontal_hole_edge_distance_row_7
4,horizontal_hole_edge_distance_row_9,individual,1,100,381.8,336.09877095637205,310.0,7.85,6.3506541458977335,57.65,0,692.4,13.36,310.6,652.370688452137,44.858463316002315,5.51,11.011926500505043,54,horizontal_hole_edge_distance_row_9
5,horizontal_hole_edge_distance_row_6,individual,1,100,410.2,376.03454601669216,300.0,8.33,6.704521314799892,58.53,0,692.4,13.36,282.2,569.5143775732323,40.75678798382438,5.03,9.552042459679246,51,horizontal_hole_edge_distance_row_6
6,mean_hole_edge_distance,individual,1,100,445.8,445.28774036253424,340.0,9.19,7.892836542515542,61.56,0,692.4,13.36,246.6,822.0253627289715,35.61525129982669,4.17,13.177157309050946,89,mean_hole_edge_distance
7,vertical_hole_depth_col_5,individual,1,100,448.4,398.2809525595182,360.0,9.68,7.91607493801331,62.56,0,692.4,13.36,244.0,730.219283517083,35.23974581166956,3.68,13.217588526832209,30,vertical_hole_depth_col_5
8,fill_height_col_1,individual,1,100,451.0,485.01067363033724,280.0,9.21,9.339062094668865,61.13,0,692.4,13.36,241.4,812.9271464618126,34.86424032351242,4.15,13.317699167315318,1,fill_height_col_1
9,vertical_hole_clusteredness_col_4,individual,1,100,460.0,639.2735776416127,270.0,8.89,10.812352643942468,59.9,0,692.4,13.36,232.4,964.5505783430012,33.56441363373772,4.47,16.029300822196983,39,vertical_hole_clusteredness_col_4
10,holeyness_col_5,individual,1,100,467.6,541.7053506000166,310.0,9.53,9.510711664414833,62.16,0,692.4,13.36,224.8,835.2734748438847,32.46678220681687,3.83,13.67446562396535,20,holeyness_col_5
