Episode,Score,Lines_Cleared,Epsilon
1,0,0,1.0
2,0,0,0.9992
3,0,0,0.99840064
4,0,0,0.9976019194879999
5,0,0,0.9968038379524095
6,0,0,0.9960063948820475
7,0,0,0.9952095897661418
8,0,0,0.9944134220943289
9,0,0,0.9936178913566535
10,0,0,0.9928229970435681
11,0,0,0.9920287386459332
12,0,0,0.9912351156550164
13,0,0,0.9904421275624924
14,0,0,0.9896497738604424
15,0,0,0.9888580540413541
16,0,0,0.988066967598121
17,80,2,0.9872765140240425
18,0,0,0.9864866928128232
19,0,0,0.9856975034585729
20,0,0,0.984908945455806
21,0,0,0.9841210182994413
22,0,0,0.9833337214848017
23,0,0,0.9825470545076138
24,0,0,0.9817610168640077
25,0,0,0.9809756080505165
26,0,0,0.980190827564076
27,0,0,0.9794066749020248
28,0,0,0.9786231495621032
29,0,0,0.9778402510424534
30,0,0,0.9770579788416195
31,0,0,0.9762763324585462
32,0,0,0.9754953113925793
33,0,0,0.9747149151434652
34,0,0,0.9739351432113504
35,0,0,0.9731559950967813
36,40,1,0.9723774703007039
37,0,0,0.9715995683244633
38,0,0,0.9708222886698037
39,0,0,0.9700456308388679
40,0,0,0.9692695943341968
41,0,0,0.9684941786587294
42,80,2,0.9677193833158024
43,0,0,0.9669452078091497
44,0,0,0.9661716516429024
45,0,0,0.9653987143215881
46,0,0,0.9646263953501308
47,0,0,0.9638546942338507
48,40,1,0.9630836104784636
49,0,0,0.9623131435900808
50,40,1,0.9615432930752087
51,0,0,0.9607740584407485
52,0,0,0.9600054391939958
53,40,1,0.9592374348426406
54,0,0,0.9584700448947664
55,0,0,0.9577032688588506
56,0,0,0.9569371062437635
57,0,0,0.9561715565587685
58,0,0,0.9554066193135214
59,0,0,0.9546422940180707
60,0,0,0.9538785801828562
61,0,0,0.9531154773187099
62,0,0,0.9523529849368549
63,0,0,0.9515911025489054
64,0,0,0.9508298296668662
65,0,0,0.9500691658031327
66,0,0,0.9493091104704902
67,0,0,0.9485496631821138
68,0,0,0.9477908234515681
69,0,0,0.9470325907928068
70,0,0,0.9462749647201725
71,0,0,0.9455179447483963
72,0,0,0.9447615303925976
73,0,0,0.9440057211682835
74,0,0,0.9432505165913488
75,0,0,0.9424959161780757
76,0,0,0.9417419194451332
77,0,0,0.940988525909577
78,40,1,0.9402357350888494
79,0,0,0.9394835465007783
80,0,0,0.9387319596635776
81,0,0,0.9379809740958467
82,0,0,0.93723058931657
83,0,0,0.9364808048451168
84,0,0,0.9357316202012407
85,40,1,0.9349830349050796
86,0,0,0.9342350484771555
87,0,0,0.9334876604383738
88,80,2,0.9327408703100231
89,0,0,0.931994677613775
90,0,0,0.931249081871684
91,0,0,0.9305040826061867
92,0,0,0.9297596793401017
93,0,0,0.9290158715966296
94,0,0,0.9282726588993523
95,120,3,0.9275300407722328
96,40,1,0.926788016739615
97,40,1,0.9260465863262233
98,0,0,0.9253057490571622
99,0,0,0.9245655044579165
100,0,0,0.9238258520543502
101,40,1,0.9230867913727067
102,0,0,0.9223483219396085
103,0,0,0.9216104432820568
104,0,0,0.920873154927431
105,0,0,0.9201364564034891
106,0,0,0.9194003472383663
107,0,0,0.9186648269605756
108,0,0,0.9179298950990071
109,0,0,0.917195551182928
110,0,0,0.9164617947419816
111,40,1,0.915728625306188
112,0,0,0.914996042405943
113,0,0,0.9142640455720182
114,0,0,0.9135326343355606
115,0,0,0.9128018082280922
116,0,0,0.9120715667815097
117,0,0,0.9113419095280845
118,0,0,0.910612836000462
119,40,1,0.9098843457316615
120,0,0,0.9091564382550762
121,0,0,0.9084291131044722
122,0,0,0.9077023698139886
123,0,0,0.9069762079181374
124,0,0,0.9062506269518028
125,0,0,0.9055256264502414
126,0,0,0.9048012059490812
127,0,0,0.9040773649843219
128,0,0,0.9033541030923344
129,0,0,0.9026314198098605
130,0,0,0.9019093146740126
131,0,0,0.9011877872222733
132,0,0,0.9004668369924955
133,0,0,0.8997464635229016
134,0,0,0.8990266663520832
135,0,0,0.8983074450190015
136,40,1,0.8975887990629863
137,0,0,0.8968707280237359
138,40,1,0.8961532314413169
139,0,0,0.8954363088561638
140,40,1,0.8947199598090788
141,0,0,0.8940041838412315
142,0,0,0.8932889804941585
143,0,0,0.8925743493097632
144,0,0,0.8918602898303154
145,0,0,0.8911468015984512
146,0,0,0.8904338841571724
147,0,0,0.8897215370498467
148,0,0,0.8890097598202068
149,0,0,0.8882985520123506
150,0,0,0.8875879131707407
151,0,0,0.8868778428402041
152,0,0,0.886168340565932
153,0,0,0.8854594058934792
154,0,0,0.8847510383687643
155,40,1,0.8840432375380693
156,0,0,0.8833360029480388
157,0,0,0.8826293341456803
158,0,0,0.8819232306783638
159,0,0,0.8812176920938211
160,240,6,0.880512717940146
161,0,0,0.8798083077657938
162,0,0,0.8791044611195811
163,0,0,0.8784011775506854
164,0,0,0.8776984566086448
