Episode,Score,Lines_Cleared,Epsilon
1,0,0,0.3
2,0,0,0.2985
3,0,0,0.2970075
4,120,3,0.29552246249999997
5,80,2,0.2940448501875
6,0,0,0.29257462593656247
7,40,1,0.2911117528068797
8,0,0,0.28965619404284526
9,40,1,0.28820791307263105
10,0,0,0.28676687350726787
11,0,0,0.2853330391397315
12,40,1,0.28390637394403284
13,0,0,0.2824868420743127
14,0,0,0.2810744078639411
15,0,0,0.2796690358246214
16,0,0,0.27827069064549825
17,0,0,0.27687933719227076
18,80,2,0.2754949405063094
19,0,0,0.2741174658037779
20,40,1,0.272746878474759
21,160,4,0.2713831440823852
22,40,1,0.27002622836197326
23,0,0,0.2686760972201634
24,0,0,0.26733271673406256
25,80,2,0.26599605315039226
26,0,0,0.2646660728846403
27,120,3,0.26334274252021705
28,0,0,0.26202602880761594
29,0,0,0.26071589866357786
30,0,0,0.25941231917026
31,80,2,0.2581152575744087
32,40,1,0.2568246812865366
33,140,3,0.25554055788010394
34,0,0,0.2542628550907034
35,40,1,0.2529915408152499
36,40,1,0.25172658311117363
37,40,1,0.25046795019561774
38,0,0,0.24921561044463966
39,0,0,0.24796953239241645
40,80,2,0.24672968473045437
41,0,0,0.24549603630680208
42,0,0,0.24426855612526807
43,80,2,0.24304721334464174
44,40,1,0.24183197727791853
45,40,1,0.24062281739152894
46,0,0,0.2394197033045713
47,0,0,0.23822260478804844
48,80,2,0.2370314917641082
49,0,0,0.23584633430528767
50,0,0,0.23466710263376123
51,80,2,0.23349376712059242
52,120,3,0.23232629828498946
53,40,1,0.2311646667935645
54,40,1,0.23000884345959668
55,0,0,0.2288587992422987
56,80,2,0.22771450524608722
57,40,1,0.2265759327198568
58,80,2,0.2254430530562575
59,0,0,0.22431583779097622
60,520,8,0.22319425860202133
61,160,4,0.22207828730901122
62,100,2,0.22096789587246615
63,0,0,0.21986305639310383
64,120,3,0.2187637411111383
65,160,4,0.2176699224055826
66,160,4,0.2165815727935547
67,40,1,0.21549866492958691
68,120,3,0.21442117160493898
69,140,3,0.21334906574691428
70,0,0,0.2122823204181797
71,120,3,0.21122090881608882
72,0,0,0.21016480427200837
73,0,0,0.20911398025064834
74,0,0,0.2080684103493951
75,80,2,0.20702806829764814
76,0,0,0.2059929279561599
77,140,3,0.2049629633163791
78,240,6,0.2039381484997972
79,0,0,0.2029184577572982
80,80,2,0.2019038654685117
81,180,4,0.20089434614116913
82,300,7,0.1998898744104633
83,200,4,0.19889042503841098
84,0,0,0.19789597291321892
85,40,1,0.19690649304865282
86,140,3,0.19592196058340955
87,120,3,0.1949423507804925
88,0,0,0.19396763902659003
89,40,1,0.1929978008314571
90,180,4,0.1920328118272998
91,140,3,0.19107264776816332
92,200,5,0.1901172845293225
93,180,4,0.18916669810667588
94,40,1,0.1882208646161425
95,40,1,0.1872797602930618
96,40,1,0.18634336149159647
97,40,1,0.18541164468413848
98,100,2,0.18448458646071778
99,220,5,0.18356216352841417
100,40,1,0.1826443527107721
101,0,0,0.18173113094721824
102,0,0,0.18082247529248216
103,0,0,0.17991836291601976
104,0,0,0.17901877110143966
105,120,3,0.17812367724593245
106,0,0,0.17723305885970278
107,260,6,0.17634689356540426
108,140,3,0.17546515909757723
109,0,0,0.17458783330208935
110,0,0,0.1737148941355789
111,120,3,0.172846319664901
112,40,1,0.1719820880665765
113,40,1,0.17112217762624363
114,120,3,0.1702665667381124
115,40,1,0.16941523390442184
116,220,5,0.16856815773489972
117,80,2,0.16772531694622522
118,0,0,0.1668866903614941
119,0,0,0.1660522569096866
120,0,0,0.16522199562513817
121,160,4,0.1643958856470125
122,160,4,0.16357390621877743
123,40,1,0.16275603668768354
124,0,0,0.16194225650424512
125,100,2,0.1611325452217239
126,40,1,0.16032688249561527
127,120,3,0.1595252480831372
128,80,2,0.15872762184272152
129,240,6,0.15793398373350792
130,80,2,0.15714431381484037
131,80,2,0.15635859224576618
