Episode,Score,Lines_Cleared,Epsilon
1,0,0,0.5
2,40,1,0.49925
3,0,0,0.49850112500000004
4,0,0,0.4977533733125001
5,0,0,0.49700674325253136
6,40,1,0.4962612331376526
7,40,1,0.49551684128794615
8,80,2,0.49477356602601424
9,0,0,0.49403140567697523
10,0,0,0.4932903585684598
11,40,1,0.49255042303060714
12,0,0,0.4918115973960613
13,0,0,0.4910738799999672
14,0,0,0.4903372691799673
15,40,1,0.48960176327619737
16,0,0,0.4888673606312831
17,0,0,0.48813405959033623
18,0,0,0.48740185850095075
19,40,1,0.48667075571319934
20,40,1,0.48594074957962957
21,0,0,0.48521183845526017
22,0,0,0.4844840206975773
23,0,0,0.48375729466653095
24,80,2,0.4830316587245312
25,40,1,0.48230711123644443
26,40,1,0.4815836505695898
27,0,0,0.48086127509373544
28,0,0,0.48013998318109485
29,0,0,0.47941977320632323
30,0,0,0.47870064354651376
31,40,1,0.477982592581194
32,40,1,0.47726561869232226
33,120,3,0.4765497202642838
34,0,0,0.4758348956838874
35,0,0,0.4751211433403616
36,0,0,0.47440846162535105
37,0,0,0.47369684893291303
38,0,0,0.47298630365951366
39,0,0,0.4722768242040244
40,0,0,0.4715684089677184
41,0,0,0.47086105635426684
42,0,0,0.47015476476973544
43,40,1,0.4694495326225809
44,0,0,0.46874535832364705
45,0,0,0.4680422402861616
46,40,1,0.4673401769257324
47,40,1,0.46663916666034383
48,0,0,0.4659392079103533
49,0,0,0.4652402990984878
50,0,0,0.4645424386498401
51,0,0,0.4638456249918653
52,40,1,0.46314985655437757
53,0,0,0.462455131769546
54,0,0,0.4617614490718917
55,80,2,0.4610688068982839
56,0,0,0.4603772036879365
57,0,0,0.4596866378824046
58,0,0,0.458997107925581
59,40,1,0.4583086122636927
60,0,0,0.4576211493452972
61,80,2,0.45693471762127924
62,0,0,0.4562493155448473
63,0,0,0.4555649415715301
64,0,0,0.45488159415917284
65,0,0,0.4541992717679341
66,0,0,0.4535179728602822
67,0,0,0.4528376959009918
68,0,0,0.45215843935714034
69,0,0,0.45148020169810466
70,0,0,0.4508029813955575
71,0,0,0.4501267769234642
72,0,0,0.449451586758079
73,0,0,0.4487774093779419
74,40,1,0.44810424326387505
75,0,0,0.44743208689897923
76,120,3,0.44676093876863077
77,40,1,0.44609079736047785
78,40,1,0.44542166116443715
79,40,1,0.4447535286726905
80,40,1,0.4440863983796815
81,0,0,0.443420268782112
82,80,2,0.4427551383789389
83,0,0,0.4420910056713705
84,240,6,0.4414278691628635
85,40,1,0.4407657273591192
86,0,0,0.4401045787680805
87,0,0,0.43944442189992844
88,120,3,0.43878525526707857
89,0,0,0.438127077384178
90,40,1,0.4374698867681018
91,0,0,0.43681368193794967
92,0,0,0.4361584614150428
93,0,0,0.43550422372292025
94,0,0,0.4348509673873359
95,0,0,0.43419869093625496
96,120,3,0.4335473928998506
97,260,6,0.43289707181050086
98,40,1,0.4322477262027851
99,0,0,0.431599354613481
100,0,0,0.4309519555815608
101,0,0,0.43030552764818847
102,0,0,0.4296600693567162
103,120,3,0.42901557925268113
104,120,3,0.4283720558838021
105,80,2,0.42772949779997643
106,0,0,0.42708790355327647
107,380,5,0.4264472716979466
108,0,0,0.4258076007903997
109,40,1,0.4251688893892141
110,0,0,0.4245311360551303
111,0,0,0.42389433935104764
112,0,0,0.4232584978420211
113,40,1,0.42262361009525806
114,40,1,0.4219896746801152
115,0,0,0.42135669016809507
116,0,0,0.42072465513284296
117,0,0,0.4200935681501437
118,0,0,0.4194634277979185
119,0,0,0.41883423265622166
120,0,0,0.41820598130723735
121,80,2,0.4175786723352765
122,40,1,0.4169523043267736
123,120,3,0.41632687587028344
124,120,3,0.41570238555647804
125,0,0,0.4150788319781433
126,40,1,0.41445621373017616
127,40,1,0.41383452940958093
128,160,4,0.41321377761546657
129,100,2,0.4125939569490434
130,40,1,0.41197506601361983
131,240,5,0.4113571034145994
132,0,0,0.4107400677594775
133,0,0,0.4101239576578383
134,0,0,0.4095087717213516
135,0,0,0.4088945085637696
136,40,1,0.40828116680092397
137,0,0,0.4076687450507226
138,40,1,0.4070572419331465
139,0,0,0.4064466560702468
140,0,0,0.4058369860861415
141,0,0,0.4052282306070123
142,0,0,0.4046203882611018
143,0,0,0.40401345767871016
144,0,0,0.4034074374921921
145,0,0,0.4028023263359538
146,40,1,0.4021981228464499
147,0,0,0.40159482566218024
148,0,0,0.400992433423687
149,0,0,0.4003909447735515
150,40,1,0.3997903583563912
151,80,2,0.3991906728188566
152,0,0,0.39859188680962837
153,0,0,0.39799399897941395
154,0,0,0.39739700798094485
155,0,0,0.3968009124689735
156,0,0,0.39620571110027003
157,0,0,0.39561140253361965
158,0,0,0.39501798542981925
159,40,1,0.39442545845167454
160,0,0,0.39383382026399705
161,0,0,0.39324306953360105
162,100,2,0.39265320492930067
163,40,1,0.39206422512190675
164,120,3,0.3914761287842239
165,0,0,0.3908889145910476
166,0,0,0.390302581219161
167,0,0,0.38971712734733227
168,40,1,0.3891325516563113
169,40,1,0.38854885282882684
170,0,0,0.38796602954958365
171,0,0,0.3873840805052593
172,0,0,0.38680300438450144
173,0,0,0.3862227998779247
174,0,0,0.3856434656781078
175,40,1,0.3850650004795907
176,0,0,0.38448740297887135
177,40,1,0.3839106718744031
178,40,1,0.3833348058665915
179,80,2,0.38275980365779166
180,80,2,0.382185663952305
181,0,0,0.3816123854563766
182,0,0,0.3810399668781921
183,0,0,0.3804684069278748
184,0,0,0.37989770431748304
185,40,1,0.37932785776100686
186,40,1,0.37875886597436537
187,40,1,0.37819072767540385
188,0,0,0.3776234415838908
189,40,1,0.37705700642151496
190,140,3,0.3764914209118827
191,0,0,0.3759266837805149
192,80,2,0.37536279375484416
193,0,0,0.3747997495642119
194,40,1,0.37423754993986563
195,0,0,0.37367619361495585
196,40,1,0.37311567932453343
197,220,5,0.37255600580554665
198,80,2,0.37199717179683833
199,0,0,0.3714391760391431
200,0,0,0.3708820172750844
201,40,1,0.3703256942491718
202,0,0,0.36977020570779806
203,0,0,0.36921555039923637
204,100,2,0.36866172707363754
205,0,0,0.3681087344830271
206,0,0,0.3675565713813026
207,80,2,0.36700523652423067
208,0,0,0.36645472866944434
209,0,0,0.3659050465764402
210,0,0,0.36535618900657557
211,80,2,0.3648081547230657
212,0,0,0.3642609424909811
213,0,0,0.36371455107724465
214,340,4,0.3631689792506288
215,0,0,0.36262422578175285
216,420,6,0.36208028944308024
217,0,0,0.36153716900891564
218,0,0,0.3609948632554023
219,40,1,0.3604533709605192
220,40,1,0.35991269090407846
221,40,1,0.35937282186772235
222,80,2,0.3588337626349208
223,0,0,0.35829551199096843
224,40,1,0.357758068722982
225,0,0,0.35722143161989756
226,0,0,0.35668559947246775
227,100,2,0.3561505710732591
228,0,0,0.3556163452166492
229,40,1,0.35508292069882424
230,40,1,0.354550296317776
231,40,1,0.35401847087329935
232,40,1,0.35348744316698943
233,40,1,0.35295721200223895
234,80,2,0.3524277761842356
235,0,0,0.35189913451995924
236,0,0,0.35137128581817934
237,40,1,0.3508442288894521
238,0,0,0.35031796254611797
239,0,0,0.3497924856022988
240,160,4,0.34926779687389536
241,0,0,0.34874389517858456
242,40,1,0.3482207793358167
243,40,1,0.347698448166813
244,0,0,0.3471769004945628
245,0,0,0.346656135143821
246,40,1,0.3461361509411053
247,0,0,0.3456169467146936
248,120,3,0.3450985212946216
249,40,1,0.3445808735126797
250,0,0,0.3440640022024107
251,0,0,0.3435479061991071
252,0,0,0.34303258433980843
253,40,1,0.34251803546329873
254,0,0,0.3420042584101038
255,140,3,0.34149125202248864
256,0,0,0.34097901514445494
257,0,0,0.3404675466217383
258,180,4,0.3399568453018057
259,100,2,0.339446910033853
260,0,0,0.33893773966880225
261,80,2,0.33842933305929906
262,40,1,0.33792168905971015
263,0,0,0.3374148065261206
264,40,1,0.3369086843163314
265,40,1,0.33640332128985695
266,40,1,0.3358987163079222
267,40,1,0.3353948682334603
268,0,0,0.33489177593111014
269,0,0,0.3343894382672135
270,40,1,0.3338878541098127
271,80,2,0.333387022328648
272,0,0,0.33288694179515504
273,0,0,0.3323876113824623
274,40,1,0.33188902996538866
275,0,0,0.33139119642044057
276,0,0,0.33089410962580995
277,40,1,0.33039776846137126
278,0,0,0.3299021718086792
279,80,2,0.3294073185509662
280,80,2,0.3289132075731398
281,0,0,0.32841983776178013
282,40,1,0.32792720800513747
283,40,1,0.3274353171931298
284,80,2,0.3269441642173401
285,40,1,0.3264537479710141
286,80,2,0.32596406734905764
287,0,0,0.32547512124803407
288,40,1,0.324986908566162
289,40,1,0.3244994282033128
290,0,0,0.32401267906100784
291,0,0,0.3235266600424163
292,0,0,0.3230413700523527
293,200,5,0.3225568079972742
294,80,2,0.3220729727852783
295,0,0,0.3215898633261004
296,0,0,0.32110747853111127
297,0,0,0.32062581731331463
298,0,0,0.3201448785873447
299,0,0,0.3196646612694637
300,40,1,0.3191851642775595
301,0,0,0.3187063865311432
302,80,2,0.3182283269513465
303,0,0,0.3177509844609195
304,0,0,0.3172743579842281
305,80,2,0.31679844644725175
306,0,0,0.3163232487775809
307,120,3,0.3158487639044145
308,0,0,0.3153749907585579
309,0,0,0.3149019282724201
310,80,2,0.3144295753800115
311,0,0,0.31395793101694147
312,0,0,0.3134869941204161
313,40,1,0.3130167636292355
314,0,0,0.3125472384837916
315,40,1,0.312078417626066
316,0,0,0.3116102999996269
317,0,0,0.3111428845496275
318,0,0,0.3106761702228031
319,40,1,0.31021015596746887
320,0,0,0.30974484073351766
321,40,1,0.3092802234724174
322,0,0,0.3088163031372088
323,0,0,0.308353078682503
324,120,3,0.30789054906447927
325,0,0,0.30742871324088256
326,0,0,0.3069675701710213
327,80,2,0.30650711881576476
328,0,0,0.30604735813754114
329,40,1,0.30558828710033487
330,0,0,0.30512990466968437
331,40,1,0.30467220981267984
332,40,1,0.30421520149796083
333,0,0,0.3037588786957139
334,0,0,0.3033032403776703
335,0,0,0.3028482855171038
336,40,1,0.3023940130888282
337,40,1,0.30194042206919497
338,0,0,0.3014875114360912
339,0,0,0.3010352801689371
340,40,1,0.3005837272486837
341,140,3,0.3001328516578107
342,0,0,0.299682652380324
343,0,0,0.29923312840175353
344,0,0,0.2987842787091509
345,120,3,0.2983361022910872
346,40,1,0.29788859813765056
347,0,0,0.2974417652404441
348,0,0,0.29699560259258345
349,0,0,0.29655010918869457
350,40,1,0.29610528402491154
351,40,1,0.2956611260988742
