Episode,Score,Lines_Cleared,Epsilon
1,0,0,0.2
2,120,3,0.1998
3,40,1,0.1996002
4,240,6,0.1994005998
5,120,3,0.1992011992002
6,200,5,0.1990019980009998
7,160,4,0.1988029960029988
8,80,2,0.1986041930069958
9,80,2,0.19840558881398881
10,200,5,0.19820718322517483
11,40,1,0.19800897604194967
12,300,7,0.19781096706590773
13,40,1,0.1976131560988418
14,40,1,0.19741554294274297
15,40,1,0.1972181273998002
16,80,2,0.1970209092724004
17,80,2,0.196823888363128
18,120,3,0.19662706447476488
19,40,1,0.19643043741029012
20,0,0,0.19623400697287982
21,560,13,0.19603777296590694
22,420,10,0.19584173519294104
23,40,1,0.1956458934577481
24,0,0,0.19545024756429036
25,0,0,0.19525479731672607
26,200,5,0.19505954251940935
27,0,0,0.19486448297688994
28,400,10,0.19466961849391304
29,160,4,0.19447494887541913
30,440,11,0.1942804739265437
31,40,1,0.19408619345261716
32,100,2,0.19389210725916453
33,120,3,0.19369821515190536
34,80,2,0.19350451693675344
35,120,3,0.19331101241981669
36,0,0,0.19311770140739687
37,320,8,0.19292458370598947
38,100,2,0.1927316591222835
39,80,2,0.1925389274631612
40,160,4,0.19234638853569805
41,0,0,0.19215404214716236
42,0,0,0.1919618881050152
43,120,3,0.19176992621691016
44,240,6,0.19157815629069325
45,100,2,0.19138657813440255
46,0,0,0.19119519155626816
47,0,0,0.19100399636471188
48,80,2,0.19081299236834717
49,40,1,0.19062217937597883
50,160,4,0.19043155719660285
51,40,1,0.19024112563940623
52,0,0,0.19005088451376684
53,400,10,0.18986083362925307
54,520,12,0.1896709727956238
55,0,0,0.18948130182282819
56,380,9,0.18929182052100535
57,160,4,0.18910252870048436
58,120,3,0.18891342617178386
59,80,2,0.18872451274561208
60,0,0,0.18853578823286646
61,480,12,0.1883472524446336
62,120,3,0.18815890519218897
63,140,3,0.18797074628699678
64,80,2,0.1877827755407098
65,40,1,0.18759499276516908
66,40,1,0.18740739777240392
67,0,0,0.18721999037463152
68,160,4,0.1870327703842569
69,0,0,0.18684573761387263
70,40,1,0.18665889187625875
71,40,1,0.1864722329843825
72,0,0,0.18628576075139813
73,0,0,0.18609947499064675
74,160,4,0.1859133755156561
75,40,1,0.18572746214014044
76,180,4,0.1855417346780003
77,160,4,0.1853561929433223
78,0,0,0.185170836750379
79,80,2,0.1849856659136286
80,200,5,0.18480068024771498
81,40,1,0.18461587956746728
82,220,5,0.1844312636878998
83,80,2,0.18424683242421191
84,340,4,0.1840625855917877
85,40,1,0.18387852300619592
86,40,1,0.18369464448318973
87,0,0,0.18351094983870653
88,0,0,0.18332743888886782
89,40,1,0.18314411144997894
90,0,0,0.18296096733852896
91,40,1,0.18277800637119043
92,340,8,0.18259522836481923
93,0,0,0.18241263313645442
94,0,0,0.18223022050331797
95,120,3,0.18204799028281465
96,40,1,0.18186594229253183
97,180,4,0.1816840763502393
98,180,4,0.18150239227388906
99,220,5,0.18132088988161518
100,0,0,0.18113956899173356
101,40,1,0.18095842942274182
