Episode,Score,Lines_Cleared,Epsilon
1,0,0,1.0
2,0,0,0.999
3,0,0,0.998001
4,0,0,0.997002999
5,0,0,0.996005996001
6,0,0,0.995009990004999
7,0,0,0.994014980014994
8,0,0,0.993020965034979
9,0,0,0.9920279440699441
10,0,0,0.9910359161258742
11,0,0,0.9900448802097482
12,0,0,0.9890548353295385
13,0,0,0.988065780494209
14,0,0,0.9870777147137147
15,0,0,0.986090636999001
16,0,0,0.9851045463620021
17,0,0,0.98411944181564
18,0,0,0.9831353223738244
19,0,0,0.9821521870514506
20,0,0,0.9811700348643991
21,0,0,0.9801888648295347
22,0,0,0.9792086759647052
23,0,0,0.9782294672887405
24,0,0,0.9772512378214517
25,0,0,0.9762739865836303
26,0,0,0.9752977125970467
27,0,0,0.9743224148844496
28,0,0,0.9733480924695651
29,0,0,0.9723747443770956
30,0,0,0.9714023696327185
31,40,1,0.9704309672630859
32,0,0,0.9694605362958227
33,0,0,0.9684910757595269
34,0,0,0.9675225846837673
35,0,0,0.9665550620990835
36,0,0,0.9655885070369844
37,0,0,0.9646229185299474
38,0,0,0.9636582956114175
39,0,0,0.9626946373158061
40,0,0,0.9617319426784903
41,0,0,0.9607702107358118
42,0,0,0.959809440525076
43,0,0,0.9588496310845509
44,0,0,0.9578907814534664
45,0,0,0.9569328906720129
46,0,0,0.9559759577813409
47,0,0,0.9550199818235596
48,0,0,0.9540649618417361
49,0,0,0.9531108968798944
50,0,0,0.9521577859830145
51,0,0,0.9512056281970315
52,0,0,0.9502544225688344
53,80,2,0.9493041681462656
54,40,1,0.9483548639781193
55,0,0,0.9474065091141411
56,0,0,0.946459102605027
57,0,0,0.9455126435024219
58,0,0,0.9445671308589195
59,0,0,0.9436225637280606
60,0,0,0.9426789411643326
61,0,0,0.9417362622231683
62,0,0,0.9407945259609451
63,0,0,0.9398537314349842
64,0,0,0.9389138777035492
65,80,2,0.9379749638258457
66,0,0,0.9370369888620198
67,0,0,0.9360999518731578
68,40,1,0.9351638519212846
69,0,0,0.9342286880693633
70,0,0,0.933294459381294
71,40,1,0.9323611649219127
72,0,0,0.9314288037569908
73,40,1,0.9304973749532338
74,0,0,0.9295668775782806
75,0,0,0.9286373107007023
76,0,0,0.9277086733900016
77,0,0,0.9267809647166116
78,0,0,0.925854183751895
79,120,3,0.9249283295681431
80,0,0,0.9240034012385749
81,0,0,0.9230793978373364
82,0,0,0.9221563184394991
83,80,2,0.9212341621210596
84,0,0,0.9203129279589385
85,0,0,0.9193926150309796
86,0,0,0.9184732224159486
87,80,2,0.9175547491935327
88,0,0,0.9166371944443392
89,0,0,0.9157205572498949
90,0,0,0.914804836692645
91,0,0,0.9138900318559524
92,0,0,0.9129761418240965
93,0,0,0.9120631656822724
94,0,0,0.9111511025165902
95,0,0,0.9102399514140735
96,0,0,0.9093297114626595
97,80,2,0.9084203817511969
98,0,0,0.9075119613694457
99,0,0,0.9066044494080763
100,0,0,0.9056978449586682
101,0,0,0.9047921471137096
102,0,0,0.9038873549665959
103,0,0,0.9029834676116293
104,0,0,0.9020804841440176
105,40,1,0.9011784036598737
106,0,0,0.9002772252562138
107,0,0,0.8993769480309576
108,0,0,0.8984775710829266
109,0,0,0.8975790935118436
110,0,0,0.8966815144183318
111,0,0,0.8957848329039134
112,0,0,0.8948890480710096
113,0,0,0.8939941590229386
114,0,0,0.8931001648639156
115,0,0,0.8922070646990518
116,40,1,0.8913148576343527
117,0,0,0.8904235427767183
118,0,0,0.8895331192339416
119,0,0,0.8886435861147077
120,0,0,0.887754942528593
121,0,0,0.8868671875860644
122,0,0,0.8859803203984784
123,0,0,0.88509434007808
124,0,0,0.8842092457380019
125,0,0,0.8833250364922639
126,0,0,0.8824417114557717
127,0,0,0.8815592697443159
128,0,0,0.8806777104745716
129,0,0,0.8797970327640969
130,80,2,0.8789172357313328
131,0,0,0.8780383184956015
132,0,0,0.8771602801771059
133,0,0,0.8762831198969288
134,0,0,0.8754068367770318
135,0,0,0.8745314299402548
136,0,0,0.8736568985103146
137,0,0,0.8727832416118043
138,0,0,0.8719104583701925
139,0,0,0.8710385479118223
140,0,0,0.8701675093639105
141,40,1,0.8692973418545467
142,0,0,0.8684280445126921
143,0,0,0.8675596164681794
144,0,0,0.8666920568517111
145,0,0,0.8658253647948594
146,0,0,0.8649595394300645
147,0,0,0.8640945798906344
148,0,0,0.8632304853107438
149,0,0,0.862367254825433
150,0,0,0.8615048875706075
151,0,0,0.8606433826830369
152,0,0,0.8597827393003539
153,0,0,0.8589229565610536
154,0,0,0.8580640336044925
155,0,0,0.857205969570888
156,0,0,0.8563487636013172
157,0,0,0.8554924148377159
158,40,1,0.8546369224228781
159,0,0,0.8537822855004553
160,0,0,0.8529285032149548
161,0,0,0.8520755747117399
162,0,0,0.8512234991370281
163,0,0,0.8503722756378911
164,0,0,0.8495219033622532
165,0,0,0.8486723814588909
166,0,0,0.847823709077432
167,0,0,0.8469758853683546
168,0,0,0.8461289094829862
169,0,0,0.8452827805735033
170,0,0,0.8444374977929298
171,0,0,0.8435930602951368
172,0,0,0.8427494672348417
173,0,0,0.8419067177676068
174,0,0,0.8410648110498392
